city,epsilon,method,rank_operational_utility,rank_CO2,rank_distance,rank_policy,composite_rank_score,final_rank,operational_utility_score_mean,CO2_reduction_pct_vs_shortest_mean,distance_penalty_pct_vs_shortest_mean,policy_violation_pct_mean
Mumbai,0.05,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,11.869264005986308,10.04786004505096,0.6081248958418072,0.0
Mumbai,0.05,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-282.1659351691015,57.69466170219058,39.65959441967284,34.83082305034072
Mumbai,0.05,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-88.11968155144211,52.05830679803531,19.226347394449615,14.863821212849636
Mumbai,0.05,MultiAgent_NoNegotiation,6.0,7.0,6.0,6.0,6.15,6.0,-47.8529710160665,49.31506863355205,14.545334447023544,10.534516632170504
Mumbai,0.05,PredictiveDT_Routing,7.0,6.0,7.0,7.0,6.8500000000000005,7.0,-54.916161776467625,50.24482344321769,15.53946104401317,11.334643489143952
Mumbai,0.05,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-88.11968155144211,52.05830679803531,19.226347394449615,14.863821212849636
Mumbai,0.05,ShortestPath,2.0,12.0,1.0,1.0,3.1999999999999997,2.0,0.0,0.0,0.0,0.0
Mumbai,0.05,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-151.69464253950926,54.20165026646247,26.068421831686173,21.434818287248582
Mumbai,0.05,StaticDT_Routing,3.0,10.0,3.0,3.0,4.05,3.0,-8.519752835297439,45.136246605014364,9.832556211960629,6.124429349200253
Mumbai,0.05,Weighted_EcoRouting,4.0,8.0,4.0,4.0,4.6000000000000005,4.0,-27.908374424835703,48.43568049223836,12.572857467883544,8.405399749252986
Mumbai,0.05,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-88.11968155144211,52.05830679803531,19.226347394449615,14.863821212849636
Mumbai,0.1,AStar_EcoRouting,5.0,8.0,5.0,5.0,5.45,5.0,-5.317517675937697,48.44648220868143,12.755326297916957,5.541501252557785
Mumbai,0.1,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,21.752029655437738,20.273215789202325,2.437648102241464,0.0
Mumbai,0.1,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-246.67445651920104,57.693796120798105,39.614604028415734,30.405909010199508
Mumbai,0.1,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-60.52486264091412,52.072186167221304,19.262626666175205,11.407808325902133
Mumbai,0.1,MultiAgent_NoNegotiation,6.0,7.0,6.0,6.0,6.15,6.0,-24.16760771173121,49.34610376189415,14.663396296383885,7.552261737834522
Mumbai,0.1,PredictiveDT_Routing,7.0,6.0,7.0,7.0,6.8500000000000005,7.0,-27.079994230730325,49.90814429244346,15.303592938687034,7.8646378503738035
Mumbai,0.1,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-60.52486264091412,52.072186167221304,19.262626666175205,11.407808325902133
Mumbai,0.1,ShortestPath,3.0,12.0,1.0,1.0,3.75,3.0,0.0,0.0,0.0,0.0
Mumbai,0.1,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-120.94393348643395,54.20035951089751,26.127918628304432,17.576978614884567
Mumbai,0.1,StaticDT_Routing,2.0,10.0,3.0,3.0,3.5,2.0,10.378329719033324,45.26198063430918,10.030466235022322,3.7349306393165964
Mumbai,0.1,Weighted_EcoRouting,4.0,9.0,4.0,4.0,4.75,4.0,-3.082421478861525,48.38849202873267,12.513188534468318,5.309749158471292
Mumbai,0.1,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-60.52486264091412,52.072186167221304,19.262626666175205,11.407808325902133
Mumbai,0.15,AStar_EcoRouting,4.0,8.0,5.0,5.0,4.9,5.0,12.271831270005885,48.47056279961109,12.694036371239847,3.3596135630706345
Mumbai,0.15,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,27.11573721732485,26.764123372582908,4.050033428145219,0.0
Mumbai,0.15,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-219.05509090116422,57.748748710410354,39.930453892834855,26.881241498152917
Mumbai,0.15,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-37.52802144096575,52.08036686482571,19.20017227906257,8.549424831041748
Mumbai,0.15,MultiAgent_NoNegotiation,6.0,7.0,6.0,6.0,6.15,6.0,-5.0589713446080085,49.28784809122675,14.495995819787584,5.1946163114052
Mumbai,0.15,PredictiveDT_Routing,7.0,6.0,7.0,7.0,6.8500000000000005,7.0,-7.6693503895820125,49.893036733153956,15.286007573062387,5.440020373443937
Mumbai,0.15,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-37.52802144096575,52.08036686482571,19.20017227906257,8.549424831041748
Mumbai,0.15,ShortestPath,5.0,12.0,1.0,1.0,4.85,4.0,0.0,0.0,0.0,0.0
Mumbai,0.15,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-95.08526025378723,54.19021971510857,26.09168319481133,14.351744702038657
Mumbai,0.15,StaticDT_Routing,2.0,10.0,3.0,3.0,3.5,2.0,24.642253272944934,45.25152672416168,9.921696827961036,1.9755683594139244
Mumbai,0.15,Weighted_EcoRouting,3.0,9.0,4.0,4.0,4.2,3.0,14.011680367879427,48.412572619662335,12.451898607791211,3.189767356384471
Mumbai,0.15,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-37.52802144096575,52.08036686482571,19.20017227906257,8.549424831041748
Mumbai,0.2,AStar_EcoRouting,4.0,8.0,5.0,5.0,4.9,4.0,22.55324235756099,48.4471974398682,12.704829210397797,2.0697157687795795
Mumbai,0.2,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,33.79731583415271,35.53718795262376,6.683864842294792,0.0
Mumbai,0.2,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-192.01399078628685,57.74952095478193,39.95455927800113,23.49484776014485
Mumbai,0.2,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-19.907892512986628,52.05534071028323,19.209215476866397,6.341158632522763
Mumbai,0.2,MultiAgent_NoNegotiation,5.0,7.0,6.0,6.0,5.6,5.0,6.96978568791475,49.33121140345108,14.539665089094953,3.686189474827888
Mumbai,0.2,PredictiveDT_Routing,6.0,6.0,7.0,7.0,6.3,7.0,5.973137144054127,49.924035382980804,15.320710418968403,3.7310103013966653
Mumbai,0.2,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-19.907892512986628,52.05534071028323,19.209215476866397,6.341158632522763
Mumbai,0.2,ShortestPath,7.0,12.0,1.0,1.0,5.95,6.0,0.0,0.0,0.0,0.0
Mumbai,0.2,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-70.73662109789984,54.12001237391486,25.806337872781487,11.369209775619618
Mumbai,0.2,StaticDT_Routing,2.0,10.0,3.0,3.0,3.5,2.0,32.65892198326374,45.278154676098005,9.935367017680715,0.973623653752675
Mumbai,0.2,Weighted_EcoRouting,3.0,9.0,4.0,4.0,4.2,3.0,22.99428284969216,48.411011542861736,12.556842038796091,2.0433869799057276
Mumbai,0.2,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-19.907892512986628,52.05534071028323,19.209215476866397,6.341158632522763
