city,epsilon,od_id,method,distance_km,actual_CO2_cost,hotspot_cost,pollutant_cost,top10_hotspot_cells,nodes,CO2_reduction_pct_vs_shortest,distance_penalty_pct_vs_shortest,hotspot_reduction_pct_vs_shortest,top10_reduction_pct_vs_shortest,policy_violation_pct,operational_utility_score,runtime_seconds
Delhi,0.05,4,CARA_without_PolicyAgent,32.31437663276705,3500.74116675938,23.360796580773034,25.830633671952455,5,58,38.524127741488726,4.891129980732559,23.428715640178023,16.666666666666664,0.0,40.456225600112624,0.0
Delhi,0.05,4,CARA_without_NegotiationAgent,32.31437663276705,3500.74116675938,23.360796580773034,25.830633671952455,5,58,38.524127741488726,4.891129980732559,23.428715640178023,16.666666666666664,0.0,40.456225600112624,0.0
Delhi,0.05,4,SingleAgent_Routing,32.93413910606548,3476.5968783088365,23.28587710604558,26.081757928642247,5,59,38.948121153698715,6.902853334789391,23.674284338300495,16.666666666666664,1.9028533347893912,21.75672997495505,0.0
Delhi,0.05,4,StaticDT_Routing,32.0576483121798,3511.722065898527,23.5242628840436,25.830633671952455,5,58,38.331294189790675,4.057800470760002,22.89291093216214,16.666666666666664,0.0,41.662148714351744,0.0
Delhi,0.05,5,CARA_Full,27.028719900842,7317.238270244535,38.16645812685829,34.75040262636275,9,61,0.9989557722365863,0.00015171316439258935,0.8816995938004302,0.0,0.0,1.4395021428080161,0.0
Delhi,0.05,5,CARA_without_PredictionAgent,27.028719900842,7317.238270244535,38.16645812685829,34.75040262636275,9,61,0.9989557722365863,0.00015171316439258935,0.8816995938004302,0.0,0.0,1.4395021428080161,0.0
Delhi,0.05,5,CARA_without_HotspotAgent,27.028719900842,7317.238270244535,38.16645812685829,34.75040262636275,9,61,0.9989557722365863,0.00015171316439258935,0.8816995938004302,0.0,0.0,1.4395021428080161,0.0
Delhi,0.05,5,CARA_without_PollutantAgent,27.028719900842,7317.238270244535,38.16645812685829,34.75040262636275,9,61,0.9989557722365863,0.00015171316439258935,0.8816995938004302,0.0,0.0,1.4395021428080161,0.0
Delhi,0.05,5,CARA_without_PolicyAgent,35.68154495341316,2428.9124990327155,22.004280227948456,26.362825198216083,0,65,67.13720875812493,32.01364777139356,42.854879260562754,100.0,27.013647771393558,-191.57182932552928,0.0
Delhi,0.05,5,CARA_without_NegotiationAgent,27.028719900842,7317.238270244535,38.16645812685829,34.75040262636275,9,61,0.9989557722365863,0.00015171316439258935,0.8816995938004302,0.0,0.0,1.4395021428080161,0.0
